,title,link,description
1,<b>핀테크</b> 서비스의 개인정보보호 자가평가항목 개발에 관한 연구,http://academic.naver.com/article.naver?doc_id=928652142, <b>핀테크</b> 서비스 산업은 현재 전 세계적으로 ICT 기술을 기반으로 모바일 등 다양한 채널을 통해 금융 
2,<b>핀테크</b> 서비스의 개인정보보호 자가평가항목 개발에 관한 연구,http://academic.naver.com/article.naver?doc_id=880866262, <b>핀테크</b> 서비스 산업은 현재 전 세계적으로 ICT 기술을 기반으로 모바일 등 다양한 채널을 통해 금융 
3,시장특성에 따른 <b>핀테크</b>스타트업의 글로벌 시장진출에 관한 사례 연구,http://academic.naver.com/article.naver?doc_id=562517942,A Case Study on the Global Market Entry Strategy of FinTech Start-up According to Market Characteristics <b>핀테크</b>기술이 미래 핵
4,이커머스 플랫폼의 지급결제 서비스와 <b>핀테크</b> : 규제의 변화와 O2O 등 최,http://academic.naver.com/article.naver?doc_id=843677631,"   이커머스플랫폼, 지급결제서비스, 온라인지급결제 "
5,<b>핀테크</b> 환경에서 그룹핑을 이용한 이중 터치 기반의 위치 차단이 가능한,http://academic.naver.com/article.naver?doc_id=939351718,Design for Position Protection Secure Keypads based on Double-Touch using Grouping in the Fintech <b>핀테크</b> 기술의 발전으로 인
6,<b>핀테크</b>의 사용자 특성과 제품 특성이 지속 사용의도에 미치는 영향,http://academic.naver.com/article.naver?doc_id=306405980,The Impact of Fintech User and Product Characteristics on Intention for Continuous Use 융복합 시대에 정보통신기술(ICT)을 
7,<b>핀테크</b> 서비스에서 지각된 고객 지향성이 고객 의도에 미치는 영향: 기,http://academic.naver.com/article.naver?doc_id=940732930,
8,사용자 인지도 분석을 통한 국내 <b>핀테크</b> 활성화 방안 연구,http://academic.naver.com/article.naver?doc_id=291624157,"A study on the domestic Fintech activation plan through the user awareness analysis  표제지
목차
論文要約 8
I. 서론 11
 1. "
9,빅데이터 기반의 <b>핀테크</b>서비스 모델의 변화 방향에 관한 연구,http://academic.naver.com/article.naver?doc_id=927622791,A Study on the Changing Direction of FinTech Service Model based on Big Data 4차 산업혁명시대에 ICT의 발전과 스마트 모
0,신기술 수용 사용의도에 관한 연구 - <b>핀테크</b> 결제서비스를 중심으로 -,http://academic.naver.com/article.naver?doc_id=437693125," 최근 스마트 폰, 사물인터넷 등의 새로운 통신기술의 등장으로 스마트 기기 이용을 통한 결제 및 송"
1,<b>핀테크</b> 서비스에서 지각된 고객 지향성이 고객 의도에 미치는 영향 : 기,http://academic.naver.com/article.naver?doc_id=834709154,
2,<b>핀테크</b>(FinTech)의 부상과 금융업의 변화,http://academic.naver.com/article.naver?doc_id=176937886, 개 요: <b>핀테크</b>(FinTech)는 금융과 ICT기술의 융합을 통해 기존 금융시스템의 파괴적 혁신을 주도하고 있
3,<b>핀테크</b> 환경하에서 암호화폐 수용에 미치는 영향요인과 과정에 관한 연,http://academic.naver.com/article.naver?doc_id=841263812,A Study on the Influencing Factors and the Processes of Cryptocurrency Adoption in the Fintech Context <b>핀테크</b> 환경하에서 암호
4,"기조강연 &quot;<b>핀테크</b>, 위기인가 기회인가&quot;",http://academic.naver.com/article.naver?doc_id=153342843,"  &quot;연봉 반토막도 좋다&quot; 금융맨들 짐싸서 <b>핀테크</b>로
 소셜커머스 패러다임
 미래 산업 구조의 재구성
 "
5,글로벌 <b>핀테크</b> 산업의 이해,http://academic.naver.com/article.naver?doc_id=157570042,"  5년뒤의 모습은?
 금융과 IT의 융합을 통한 금융혁신: 새로운 물결 <b>핀테크</b>
 주요 글로벌 <b>핀테크</b> 업체"
6,<b>핀테크</b> 기술 발달이 정책 변화 이끌어,http://academic.naver.com/article.naver?doc_id=156058134,"  목차
<b>핀테크</b> 기술 발달이 정책 변화 이끌어 / 김윤지 1
 스마트폰 덕분에 1
 간편결제부터 대출, 투자"
7,<b>핀테크</b>·빅테크 제도개선 및 현장애로 해소방안(제6차 디지털금융 협의,http://academic.naver.com/article.naver?doc_id=761056560,
8,「2단계 <b>핀테크</b> 발전 로드맵」기본방향 발표,http://academic.naver.com/article.naver?doc_id=235933234,"  목차
「2단계 <b>핀테크</b> 발전 로드맵」 기본방향 발표 / 금융감독원 편 1
 [요약] 1
 1. 제12차 Demo Day 등 행"
9,디지털 전환 시대에서 고객에 대한 사회적 표상: 전통은행과 <b>핀테크</b> 직,http://academic.naver.com/article.naver?doc_id=951018407,Social Representation of Customers in The Era of Digital Transformation: Focusing on The Difference in Perception between Traditional B
0,<b>핀테크</b> 지원센터 제7차 Demo Day 개최,http://academic.naver.com/article.naver?doc_id=187688906,"  목차
<b>핀테크</b> 지원센터 제7차 Demo Day 개최 / 금융감독원 편 1
 1. 제7차 Demo day 개최 1
  1) 크라우드 펀드 "
1,디지털 테크노스트레스와 디지털기술 불편성이 <b>핀테크</b> 결제행동에 미치,http://academic.naver.com/article.naver?doc_id=822696982,
2,<b>핀테크</b> 영역의 규제 샌드박스 활용가능성에 관한 연구,http://academic.naver.com/article.naver?doc_id=630736189,A study on the applicability of the regulatory sandbox in the Fintech area 규제 샌드박스란 새롭게 형성되는 산업이 기
3,"<b>핀테크</b>의 미래, O2O",http://academic.naver.com/article.naver?doc_id=187689675,"  목차
<b>핀테크</b>의 미래, O2O / 한국정보화진흥원 편 1
 O2O의 개념과 초기의 O2O모델 1
 기존의 한계를 뛰어"
4,용어 확장을 통한 <b>핀테크</b> 기술 적용가능 산업의 탐색 :네트워크 분석 및 ,http://academic.naver.com/article.naver?doc_id=944251244,
5,「<b>핀테크</b>·전통산업간 상생발전 심포지엄」,http://academic.naver.com/article.naver?doc_id=190030018,"  목차
「<b>핀테크</b>·전통산업간 상생발전 심포지엄」 / 금융감독원 편 1
 1. 개최 개요 1
  1) 금감원장 환"
6,한중 <b>핀테크</b> 산업정책 비교를 통한 모바일 비즈니스의 현황에 관한 연구,http://academic.naver.com/article.naver?doc_id=301776480,"A study do the present situation of mobile business by comparison of Korea-china Fintech industry policies ABSTRACT
  This paper analyz"
7,러시아의 포용적 금융 정책과 <b>핀테크</b> 발전 현황에 대한 기초연구,http://academic.naver.com/article.naver?doc_id=879543249,
8,러시아의 포용적 금융 정책과 <b>핀테크</b> 발전 현황에 대한 기초연구,http://academic.naver.com/article.naver?doc_id=927461301,
9,「<b>핀테크</b> 협력 네트워크」출범 및「금융권 공동 Demo Day」개최,http://academic.naver.com/article.naver?doc_id=289605939,"  목차
「<b>핀테크</b> 협력 네트워크」출범 및「금융권 공동 Demo Day」개최 / 금융감독원 편 1
 1. 행사 개요 1"
0,<b>핀테크</b> 지급결제 서비스 수용 요인 연구,http://academic.naver.com/article.naver?doc_id=880296348, [연구목적] 최근 금융과 정보통신기술의 복합 서비스인 <b>핀테크</b>(Fintech) 지급결제 서비스가 도입되고 
1,<b>핀테크</b> 지급결제 서비스 수용 요인 연구,http://academic.naver.com/article.naver?doc_id=880296348, [연구목적] 최근 금융과 정보통신기술의 복합 서비스인 <b>핀테크</b>(Fintech) 지급결제 서비스가 도입되고 
2,<b>핀테크</b> 지급결제 서비스 수용 요인 연구,http://academic.naver.com/article.naver?doc_id=929660244, [연구목적] 최근 금융과 정보통신기술의 복합 서비스인 <b>핀테크</b>(Fintech) 지급결제 서비스가 도입되고 
3,국내외 은행들의 <b>핀테크</b> 도입사례 분석,http://academic.naver.com/article.naver?doc_id=190025943,"  목차
국내외 은행들의 <b>핀테크</b> 도입사례 분석 / 박은수 ; 경규나 1
 [머리글] 1
 I. <b>핀테크</b>의 확산과 은"
4,온라인 거래가 가능한 가상화폐를 위한 <b>핀테크</b> 보안에 관한 연구,http://academic.naver.com/article.naver?doc_id=878944569,A study on fintech security for virtual currency that can be traded online    
5,<b>핀테크</b> 보안 해결사는 '내 몸',http://academic.naver.com/article.naver?doc_id=156057439,"  목차
<b>핀테크</b> 보안 해결사는 '내 몸' / 임숙경 1
 <b>핀테크</b> 열풍에 생체인증 재조명 1
 몸으로 로그인하고"
6,개인정보의 제3자 제공시 정보보호 관련 법상 책임에 관한 연구/OPEN API ,http://academic.naver.com/article.naver?doc_id=928652229,A Study on the Liability of Information Protection for the Third Party Supply of Personal Information/Focus on Fintech Companies Using 
7,<b>핀테크</b> 발전에 따른 무역결제방식의 변화와 법적 논의사항,http://academic.naver.com/article.naver?doc_id=929669711,Changes in Trade Payment Methods and Legal Countermeasures due to the Development of Fintech <b>핀테크</b>(Financial technology: FinTechs) 
8,<b>핀테크</b>와 기존은행 비교를 통한 금융 마이데이터 서비스 사용자 경험 분,http://academic.naver.com/article.naver?doc_id=951035245,An Analysis on User Experience of Financial MyData service Through Comparison Between Fintech and Banks 디지털 기술이 발전함
9,한국의 <b>핀테크</b> 생태계 구축방향,http://academic.naver.com/article.naver?doc_id=929528499," <b>핀테크</b>(Fin-Tech)는 Financial(금융)과 Technology(기술), 즉 금융과 ICT의 결합을 통해 새롭게 등장한 산업 및 "
0,독일의 <b>핀테크</b>(Fintech)의 현상과 규제 (독일의 <b>핀테크</b>(Fintech)의 現狀과 規,http://academic.naver.com/article.naver?doc_id=878205049, 최근에 금융분야에서“<b>핀테크</b>”(FinTech)라는 말이 주목을 끌고 있다. <b>핀테크</b> 유형의 하나인 크라우드
1,최근 일본의 <b>핀테크</b> 상황과 활용사례 연구,http://academic.naver.com/article.naver?doc_id=958633258," 인터넷이나 스마트폰에 의해서 사회 전체의 디지털화가 진행되고 있는 가운데, 경제의 혈액인 금융"
2,독일의 <b>핀테크</b>(Fintech)의 현상과 규제 (독일의 <b>핀테크</b>(Fintech)의 現狀과 規,http://academic.naver.com/article.naver?doc_id=878205049, 최근에 금융분야에서“<b>핀테크</b>”(FinTech)라는 말이 주목을 끌고 있다. <b>핀테크</b> 유형의 하나인 크라우드
3,독일의 <b>핀테크</b>(Fintech)의 현상과 규제 (독일의 <b>핀테크</b>(Fintech)의 現狀과 規,http://academic.naver.com/article.naver?doc_id=929377039, 최근에 금융분야에서“<b>핀테크</b>”(FinTech)라는 말이 주목을 끌고 있다. <b>핀테크</b> 유형의 하나인 크라우드
4,<b>핀테크</b> 촉진을 위한 법정책적 과제 : 지급결제분야를 중심으로,http://academic.naver.com/article.naver?doc_id=233333398,"  목차
<b>핀테크</b> 촉진을 위한 법정책적 과제 : 지급결제분야를 중심으로 / 안수현 1
 [Title] 1
 I. <b>핀테크</b> 개"
5,디지털 테크노스트레스와 디지털기술 불편성이 <b>핀테크</b> 결제행동에 미치,http://academic.naver.com/article.naver?doc_id=761078231,Impacts of Digital Technostress and Digital Technology Discomfort on Fintech Payment Behavior: Focusing on Chinese Consumers Purpose Ch
6,순차패턴 분석을 통한 <b>핀테크</b>서비스의 이상금융거래 탐지 – 선불전자,http://academic.naver.com/article.naver?doc_id=927706883,
7,순차패턴 분석을 통한 <b>핀테크</b>서비스의 이상금융거래 탐지 – 선불전자,http://academic.naver.com/article.naver?doc_id=879970972,
8,<b>핀테크</b> 기업의 비즈니스 모델에 대한 이론적 연구,http://academic.naver.com/article.naver?doc_id=927622374,Theoretical study on the business model of Fintech enterprises IT 기술발전으로 촉발된 <b>핀테크</b> 혁명(Fintech Evolution)이 
9,<b>핀테크</b> 트렌드에 따른 법과 규제의 변화 동향,http://academic.naver.com/article.naver?doc_id=157570043,"  1.<b>핀테크</b>란 무엇인가
 2. 지급결제 및 송금
 3. 인터넷전문은행
 4. 크라우드 펀딩
 5. 빅데이터 활용  "
0,<b>핀테크</b> 발전에 따른 무역결제방식의 변화와 법적 논의사항,http://academic.naver.com/article.naver?doc_id=650643982,Changes in Trade Payment Methods and Legal Countermeasures due to the Development of Fintech <b>핀테크</b>(Financial technology: FinTechs) 
1,<b>핀테크</b> 서비스의 확산의도에 영향을 미치는 요인에 관한 연구,http://academic.naver.com/article.naver?doc_id=879315338, 스마트폰의 보급과 모바일 쇼핑의 활성화에 힘입어 <b>핀테크</b> 기반의 간편결제 서비스는 빠르게 성장하
2,<b>핀테크</b>의 의미와 등장 배경,http://academic.naver.com/article.naver?doc_id=187689672,"  목차
<b>핀테크</b>의 의미와 등장 배경 / 한국정보화진흥원 편 1
 금융업의 스마트화 1
 금융기관의 존재 필"
3,<b>핀테크</b> 서비스의 확산의도에 영향을 미치는 요인에 관한 연구,http://academic.naver.com/article.naver?doc_id=929516705, 스마트폰의 보급과 모바일 쇼핑의 활성화에 힘입어 <b>핀테크</b> 기반의 간편결제 서비스는 빠르게 성장하
4,<b>핀테크</b> 서비스의 확산의도에 영향을 미치는 요인에 관한 연구,http://academic.naver.com/article.naver?doc_id=879315338, 스마트폰의 보급과 모바일 쇼핑의 활성화에 힘입어 <b>핀테크</b> 기반의 간편결제 서비스는 빠르게 성장하
5,안전한 <b>핀테크</b> 서비스를 위한 오픈플랫폼 표준화 동향,http://academic.naver.com/article.naver?doc_id=928758055, <b>핀테크</b>는 국제적으로 매우 각광을 받고 있는 산업이다. 이러한 동향에 편승하여 국제표준화에서도 
6,<b>핀테크</b> 시장 후발 기업의 차별화 전략: 이루다투자일임 사례를 중심으로,http://academic.naver.com/article.naver?doc_id=923851818,Late-Mover Differentiation Strategies in the FinTech Industry: A Case Study Research on IRUDA 최근 로보어드바이저(RoboAdvisor)
7,<b>핀테크</b> 플랫폼의 성과에 영향을 미치는 요인 연구,http://academic.naver.com/article.naver?doc_id=939825987,"A Study on the Factors Influencing the Performance of FinTech Platform   Fintech Platform, Trust, Commitment, Perceived Risks, Perceive"
8,모바일 기기 몰입수준에 따른 모바일 <b>핀테크</b> 서비스 수용의 외부영향 요,http://academic.naver.com/article.naver?doc_id=927622438,User&quot;s acceptance of mobile fintech service : Immersion of mobile device&quot;s moderating effect <b>핀테크</b>는 IT를 바탕으로 한 결제
9,<b>핀테크</b> 스타트업 활성화와 지역경제,http://academic.naver.com/article.naver?doc_id=172476500,"  - 차 례 -
제 1 장 서 론 ···················································"
0,4차 산업혁명을 선도하는 알리바바: <b>핀테크</b>와 신유통을 중심으로,http://academic.naver.com/article.naver?doc_id=630769958,"Alibaba, Leading the Fourth Industrial Revolution: FinTech and New Retail Perspectives 인공지능, 빅데이터, 사물인터넷 등"
1,인도의 디지털 화폐 정책과 <b>핀테크</b> 발전 가능성 연구,http://academic.naver.com/article.naver?doc_id=868514906,India’s digital currency policy and Fintech development potential 인도는 IT인프라의 정비가 선진국에 비해 뒤떨어져
2,클라우드기반 <b>핀테크</b> 비즈니스 모델,http://academic.naver.com/article.naver?doc_id=177581715,"  1. <b>핀테크</b>의 궁국적인 목적 : 현금 없는 사회 지향
 2. <b>핀테크</b>(FinTech)란?
 3. FinTech 서비스(클라우드 컴"
3,"4차 산업혁명시대, <b>핀테크</b>(FinTech)를 활용한 금융 산업의 비즈니스 모델 ",http://academic.naver.com/article.naver?doc_id=439348569,A Study on the Innovation of Business Model and the Protection of Financial Consumer in Financial Industry Using 4th Industrial Revolut
4,금융환경변화에 따른 <b>핀테크</b> 발전 방안 연구,http://academic.naver.com/article.naver?doc_id=233122240, 우리나라의 인터넷과 스마트폰의 보급률은 세계 최상위 국가이며 활용하는 이용자의 소득층과 연령 
5,"디지털시대의 한국 규제제도의 재설계 : <b>핀테크</b>, 레그테크, 샌드박스의 ",http://academic.naver.com/article.naver?doc_id=929516898,"Reengineering Korean Regulation System in Digital Era : From Synchronization of FinTech, RegTech, and Sandbox to Smart RegTech 규제"
6,<b>핀테크</b>기업의 재무특성에 관한 연구,http://academic.naver.com/article.naver?doc_id=929658791,The Financial Characteristics of Fintech Firms [연구목적] 본 연구는 <b>핀테크</b>기업에 대한 재무특성의 분석에 초점
7,<b>핀테크</b>가 자본시장과 경제구조의 환경변화에 미치는 영향,http://academic.naver.com/article.naver?doc_id=929708727,The impact of Fintech on environmental changes in the capital market and economic structure 최근 IT발전이 가져온 변화는 금
8,<b>핀테크</b> 산업의 경제적 파급효과 분석,http://academic.naver.com/article.naver?doc_id=561694978,"An Analysis of Economic Effects of The Fintech Industry In this study, we define Fintech services as review previous literatures and id"
9,<b>핀테크</b>(FinTech) 진전과 금융소비자보호 방안,http://academic.naver.com/article.naver?doc_id=928672180,FinTech Development and Financial Consumer Protection Policy 정보통신기술(ICT)의 급속한 발전과 함께 금융서비스분
0,<b>핀테크</b>와 기존은행 비교를 통한 금융 마이데이터 서비스 사용자 경험 분,http://academic.naver.com/article.naver?doc_id=927447561,User Experience of Financial MyData Service Through the Comparison between Fintech and Existing Banks 연구배경 디지털 기술이 
1,<b>핀테크</b>가 자본시장과 경제구조의 환경변화에 미치는 영향,http://academic.naver.com/article.naver?doc_id=886931519,The impact of Fintech on environmental changes in the capital market and economic structure 최근 IT발전이 가져온 변화는 금
2,<b>핀테크</b>에 대한 보안특성이 사용자 저항에 미치는 영향 : 모바일 결제를 ,http://academic.naver.com/article.naver?doc_id=308063125, 이 연구는 모바일 결제를 중심으로 <b>핀테크</b>에 대한 보안 특성이 사용자 저항에 영향을 주는 요인을 분
3,<b>핀테크</b> 외,http://academic.naver.com/article.naver?doc_id=929339516,Fintech etc.    
4,<b>핀테크</b> 외,http://academic.naver.com/article.naver?doc_id=879944911,Fintech etc.    
5,<b>핀테크</b> 외,http://academic.naver.com/article.naver?doc_id=879944911,Fintech etc.    
6,<b>핀테크</b>(Fin-Tech) 산업발전을 위한 법적규제 개선방안에 관한 연구 : 크라,http://academic.naver.com/article.naver?doc_id=182059880,"  표제지
목차
국문초록 10
제1장 서론 13
 제1절 연구의 배경 및 목적 13
 제2절 연구의 범위 및 구성 16
"
7,<b>핀테크</b> 비즈니스와 발전전략에 관한 연구,http://academic.naver.com/article.naver?doc_id=181313311,"A STUDY ON THE FIN-TECH BUSINESS AND GROWTH STATEGIES: FOCUSING ON THE INDUSTRIAL BANK OF KOREA M. A. Thesis
A Study on the Fin-Tech Bu"
8,<b>핀테크</b> 서비스에서 지각된 고객 지향성이 고객 의도에 미치는 영향 : 기,http://academic.naver.com/article.naver?doc_id=958159103, 서비스 지향성과 고객 지향성은 기업의 성공을 결정짓는 기업내 중요한 자산으로 인식되고 있다. 그
9,<b>핀테크</b> 서비스에서 지각된 고객 지향성이 고객 의도에 미치는 영향 : 기,http://academic.naver.com/article.naver?doc_id=834709154, 서비스 지향성과 고객 지향성은 기업의 성공을 결정짓는 기업내 중요한 자산으로 인식되고 있다. 그
0,<b>핀테크</b> 지급결제서비스 지속사용 영향요인 연구,http://academic.naver.com/article.naver?doc_id=879557626, <b>핀테크</b> 서비스는 기존 금융서비스에 IT기술을 결합한 서비스로 금융 서비스의 효율성 제고와 기존 금
1,<b>핀테크</b> 지급결제서비스 지속사용 영향요인 연구,http://academic.naver.com/article.naver?doc_id=879557626, <b>핀테크</b> 서비스는 기존 금융서비스에 IT기술을 결합한 서비스로 금융 서비스의 효율성 제고와 기존 금
2,<b>핀테크</b> 지급결제서비스 지속사용 영향요인 연구,http://academic.naver.com/article.naver?doc_id=927622574, <b>핀테크</b> 서비스는 기존 금융서비스에 IT기술을 결합한 서비스로 금융 서비스의 효율성 제고와 기존 금
3,<b>핀테크</b> 시장 후발 기업의 차별화 전략: 이루다투자일임 사례를 중심으로,http://academic.naver.com/article.naver?doc_id=938352245,Late-Mover Differentiation Strategies in the FinTech Industry: A Case Study Research on IRUDA 최근 로보어드바이저(RoboAdvisor)
4,4차 산업혁명 시대 <b>핀테크</b> 기반 모바일 결제 사용의도에 관한 연구,http://academic.naver.com/article.naver?doc_id=930019257,A Study on the Intention to Use Mobile Payment Derived from FinTech during the Fourth Industrial Revolution 본 연구는 모바일 결
5,싱가포르 <b>핀테크</b> 규제 및 진출 가이드 (디지털자료),http://academic.naver.com/article.naver?doc_id=630828866, 금융 - 싱가포르 정부규제 - <b>핀테크</b> - 싱가포르 <b>핀테크</b> - 싱가포르 PDF자료 <b>핀테크</b> 규제 샌드박스 지침 
6,<b>핀테크</b> 산업의 발전방향에 관한 연구,http://academic.naver.com/article.naver?doc_id=929530536,"Fintech, Financial Industry, and Policy Implications IT기술과 금융서비스의 결합으로 탄생한 <b>핀테크</b>는 금융산업의"
7,<b>핀테크</b> 확산이 중국 중소기업의 재무제약과 경영성과에 미치는 영향,http://academic.naver.com/article.naver?doc_id=949817873,"The effect of Fintech development on financial constraints and performance of SMEs in China  표제지
목차
I. 서론 9
 1. 연구의"
8,<b>핀테크</b>의 등장에 대응하기 위한 은행 개인 신용평가시스템 개선 방안,http://academic.naver.com/article.naver?doc_id=949822612,"  표제지
국문초록
목차
I. 서론 11
 1. 연구의 배경과 목적 11
 2. 논문의 구성 13
II. 개인 신용평가시스템"
9,2020년도 <b>핀테크</b> 지원사업 집행계획,http://academic.naver.com/article.naver?doc_id=604145817,
0,안드로이드 환경에서의 <b>핀테크</b> 앱 보안 점검을 위한 분석 방법,http://academic.naver.com/article.naver?doc_id=865538102, 오늘날 스마트폰 앱을 통해 다양한 <b>핀테크</b> 서비스를 이용할 수 있게 되었고 안전한 금융거래를 위하
1,베트남 <b>핀테크</b>시장의 성장과 시사점,http://academic.naver.com/article.naver?doc_id=938433149," 중국을 잇는 생산기지로 주목받았던 베트남이 1억명에 가까운 인구, 경제성장에 따른 소득상승, 젊은"
2,MZ세대 모바일 <b>핀테크</b> 서비스의 게이미피케이션 전략 연구,http://academic.naver.com/article.naver?doc_id=951035197,A Study on Gamification Strategy for Mobile FinTech Service of Generation MZ: Focusing on User Preference and Continuous Use Intention 
3,<b>핀테크</b>기업이 금융회사의 핵심업무를 시범운영할 수 있는 지정대리인으,http://academic.naver.com/article.naver?doc_id=638381171,
4,"&quot;더 쉽고, 빠르게&quot; 온라인 간편 결제 서비스 : '<b>핀테크</b>'",http://academic.naver.com/article.naver?doc_id=190012416,"  목차
&quot;더 쉽고, 빠르게&quot; 온라인 간편 결제 서비스 : '<b>핀테크</b>' / 박운정 1
 [Title] 1
 01. 차별화된 서비스"
5,<b>핀테크</b>가 자본시장과 경제구조의 환경변화에 미치는 영향,http://academic.naver.com/article.naver?doc_id=847325236,
6,4차 산업혁명 시대 <b>핀테크</b> 기반 모바일 결제 사용의도에 관한 연구,http://academic.naver.com/article.naver?doc_id=873712109,A Study on the Intention to Use Mobile Payment Derived from FinTech during the Fourth Industrial Revolution 본 연구는 모바일 결
7,<b>핀테크</b>의 모바일 결제 기술 및 보안 동향,http://academic.naver.com/article.naver?doc_id=179989896,"  목차
<b>핀테크</b>의 모바일 결제 기술 및 보안 동향 / 구은희 1
 1. 서론 1
 2. <b>핀테크</b> 개요 2
  2.1. <b>핀테크</b> 정"
8,(금융위원회 2020년 업무계획 중) <b>핀테크</b>·디지털금융 혁신과제,http://academic.naver.com/article.naver?doc_id=606702514,
9,제6차 <b>핀테크</b> 지원센터 Demo day 개최 : 23일 온라인 보험 슈퍼 시연·산업육,http://academic.naver.com/article.naver?doc_id=177487734,"  목차
제6차 <b>핀테크</b> 지원센터 Demo day 개최 : 23일 온라인 보험 슈퍼 시연·산업육성 공로자 표창·기술 "
0,"금융규제 샌드박스, 국민의 금융편익이 높아지고 디지털 금융과 <b>핀테크</b> ",http://academic.naver.com/article.naver?doc_id=633098030,
1,부동산 <b>핀테크</b>(FinTech) 산업의 현황과 과제,http://academic.naver.com/article.naver?doc_id=929339515,
2,안전한 <b>핀테크</b> 서비스를 위한 지침,http://academic.naver.com/article.naver?doc_id=928758123," 디지털 전환(Digital Transformation)은 산업 각 분야에서 진행되고 있는 혁신이며, 금융권에서도 디지털 전"
3,<b>핀테크</b> 서비스 활성화를 고려한 보안대책 제공방안 검토,http://academic.naver.com/article.naver?doc_id=177347441,"  목차
<b>핀테크</b> 서비스 활성화를 고려한 보안대책 제공방안 검토 / 김영진 ; 서영준 ; 박원주 1
 1. 서론 1"
4,<b>핀테크</b> 산업에서 유저블 시큐리티 디자인을 위한 가이드라인 개발,http://academic.naver.com/article.naver?doc_id=964988233,Developing Usable Security Design Guidelines for the FinTech Industry 스마트폰의 대중화는 오늘날 금융 시장의 디지털
5,<b>핀테크</b>의 기술 동향 및 발전 방향 -향후 지역금융산업의 새 지평을 열 비,http://academic.naver.com/article.naver?doc_id=190027157,"  목차
<b>핀테크</b>의 기술 동향 및 발전 방향 : 향후 지역금융산업의 새 지평을 열 비즈니스 모델 / 최성 1
 "
6,국내 <b>핀테크</b> 업체의 서비스 분야 및 기술 환경 분석,http://academic.naver.com/article.naver?doc_id=878771018,"Analysis of service area and technical environment of domestic fintech companies   Fintech, Finance, IT, Blockchain "
7,국내 <b>핀테크</b> 업체의 서비스 분야 및 기술 환경 분석,http://academic.naver.com/article.naver?doc_id=927887579,"Analysis of service area and technical environment of domestic fintech companies   Fintech, Finance, IT, Blockchain "
8,<b>핀테크</b> 기업의 혁신 성장을 지원합니다,http://academic.naver.com/article.naver?doc_id=597676133,
9,영국의 <b>핀테크</b> 산업 지원정책 및 시사점,http://academic.naver.com/article.naver?doc_id=442292064," ▶ [영국의 <b>핀테크</b> 산업 현황]
- 영국의 <b>핀테크</b> 산업은 2008년 글로벌 금융위기 이후 급속도로 성장해"
0,<b>핀테크</b>에서의 보안 요구사항,http://academic.naver.com/article.naver?doc_id=865538098, <b>핀테크</b> 시대가 본격화 되면서 결제송금 인터넷전문은행 클라우드 펀딩 등 모든 분야의 <b>핀테크</b> 서비
1,디지털 경제와 <b>핀테크</b> - 소비자 보호를 중심으로 -,http://academic.naver.com/article.naver?doc_id=845596364,
2,금융혁신 가속화를 위한 <b>핀테크</b> 스케일업 추진전략 발표,http://academic.naver.com/article.naver?doc_id=601468295,
3,<b>핀테크</b> 환경하에서 암호화폐 수용에 미치는 영향요인과 과정에 관한 연,http://academic.naver.com/article.naver?doc_id=949813086,"A study on the influencing factors and the processes of cryptocurrency adoption in the Fintech context  표제지
목차
국문요약 1"
4,소규모 <b>핀테크</b> 스타트업 등록자본금 3억원으로 인하,http://academic.naver.com/article.naver?doc_id=190030020,"  목차
소규모 <b>핀테크</b> 스타트업 등록자본금 3억원으로 인하 / 금융감독원 편 1
 [요약] 1
 1. 개정 배경 1
"
5,글로벌 <b>핀테크</b> 10대 트렌드 및 시사점,http://academic.naver.com/article.naver?doc_id=561332493,
6,"2세대 <b>핀테크</b>(FinTech), 은행 생태계의 강화인가 새로운 생태계의 등장인가",http://academic.naver.com/article.naver?doc_id=175054767,"  목차
2세대 <b>핀테크</b>(FinTech), 은행 생태계의 강화인가 새로운 생태계의 등장인가? / 스트라베이스 편 1
 "
7,<b>핀테크</b> 서비스에서 지각된 고객 지향성이 고객 의도에 미치는 영향: 기,http://academic.naver.com/article.naver?doc_id=1008026447,The Effect of Perceived Customer Orientation on the Customer Intention in Fintech Service: Focused on the Technology Acceptance Model 
8,<b>핀테크</b>산업의 성장이 중소기업 관계형 금융에 미치는 영향,http://academic.naver.com/article.naver?doc_id=879862339, <b>핀테크</b> 산업의 성장은 금융산업의 패러다임을 변화시키고 있다. 이에 따라 금융기관은 향후 고객과
9,<b>핀테크</b>산업의 성장이 중소기업 관계형 금융에 미치는 영향,http://academic.naver.com/article.naver?doc_id=928324680, <b>핀테크</b> 산업의 성장은 금융산업의 패러다임을 변화시키고 있다. 이에 따라 금융기관은 향후 고객과
0,<b>핀테크</b>산업의 성장이 중소기업 관계형 금융에 미치는 영향,http://academic.naver.com/article.naver?doc_id=879862339, <b>핀테크</b> 산업의 성장은 금융산업의 패러다임을 변화시키고 있다. 이에 따라 금융기관은 향후 고객과
1,은행과 <b>핀테크</b> 기업 모두가 참여하는오픈뱅킹 서비스가 전면 시행됩니,http://academic.naver.com/article.naver?doc_id=601468215,
2,<b>핀테크</b> 활성화를 위한 규제혁신 전담 팀(TF) 첫 회의 개최,http://academic.naver.com/article.naver?doc_id=597676219,
